file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\anvil_bench.exe,2,19,19,61.1863,8.41074,98.8731,117.139,0
tests\corpus\anvil_bench.exe,1,5,35,19.0306,1.4424,27.7353,35.5184,0
tests\corpus\anvil_bench.exe,2,30,47,70.0688,11.4349,142.129,170.354,0
tests\corpus\anvil_bench.exe,1,5,29,18.9832,1.5674,24.1076,31.6985,0
tests\corpus\anvil_bench.exe,2,36,86,71.276,11.5807,186.372,214.78,0
tests\corpus\anvil_bench.exe,2,12,545,41.1329,5.13962,64.9883,78.4103,0
tests\corpus\anvil_bench.exe,3,7,389,26.6743,3.78501,46.0228,53.9452,0
tests\corpus\anvil_bench.exe,1,5,18,18.8646,1.4424,25.1252,33.1096,0
tests\corpus\anvil_bench.exe,2,12,967,41.7792,6.51462,57.3547,70.9511,0
tests\corpus\anvil_bench.exe,1,5,665,25.0383,2.20753,29.6918,38.0062,0
tests\corpus\anvil_bench.exe,1,6,237,24.7711,2.08253,31.4842,40.105,0
tests\corpus\anvil_bench.exe,1,6,202,24.7298,1.95753,27.8565,36.2851,0
tests\corpus\anvil_bench.exe,2,17,1242,44.7846,5.51462,87.4689,102.777,0
tests\corpus\anvil_bench.exe,2,11,975,46.3701,7.4017,57.4225,67.3986,0
tests\corpus\anvil_bench.exe,2,9,1122,44.3034,5.38962,50.8983,61.1874,0
tests\corpus\anvil_bench.exe,1,6,348,24.8705,2.08253,36.2009,45.5822,0
tests\corpus\anvil_bench.exe,1,5,739,25.0656,2.20753,27.0903,34.5054,0
tests\corpus\anvil_bench.exe,1,4,7,18.64,1.1924,18.7928,25.8137,0
tests\corpus\anvil_bench.exe,1,5,451,24.9376,3.08253,29.0981,36.1779,0
tests\corpus\anvil_bench.exe,1,6,179,24.6985,1.95753,25.5385,35.916,0
tests\corpus\anvil_bench.exe,2,12,8,34.6924,4.12449,61.168,75.0989,0
tests\corpus\anvil_bench.exe,1,5,101,19.301,1.5674,31.4144,38.5748,0
tests\corpus\anvil_bench.exe,1,6,137,24.6295,1.95753,32.0037,38.9236,0
tests\corpus\anvil_bench.exe,1,4,88,19.2656,2.6924,21.1084,27.888,0
tests\corpus\anvil_bench.exe,2,11,1378,36.4437,4.50254,55.0919,67.4792,0
tests\corpus\anvil_bench.exe,2,84,531,103.054,15.79,486.176,523.67,0
tests\corpus\anvil_bench.exe,2,26,512,57.3521,8.91379,146.872,169.351,0
tests\corpus\anvil_bench.exe,1,6,506,24.9675,2.08253,27.6793,36.4251,0
tests\corpus\anvil_bench.exe,1,6,503,24.9659,2.08253,26.2986,36.6654,0
tests\corpus\anvil_bench.exe,1,5,500,24.9644,2.08253,34.1575,41.549,0
tests\corpus\anvil_bench.exe,1,7,533,24.9809,2.33253,30.4403,40.759,0
tests\corpus\anvil_bench.exe,1,7,27,18.9653,1.5674,33.6735,43.1317,0
tests\corpus\anvil_bench.exe,2,19,2092,61.997,10.8009,73.528,97.7399,0
tests\corpus\anvil_bench.exe,1,4,96,19.288,1.5674,34.7767,40.2398,0
tests\corpus\anvil_bench.exe,2,29,457,43.3376,5.51462,163.55,180.692,0
tests\corpus\anvil_bench.exe,2,41,454,41.6225,5.92255,221.599,248.003,0
tests\corpus\anvil_bench.exe,1,128,451,24.9376,3.95753,761.633,807.346,0
tests\corpus\anvil_bench.exe,3,112,451,106.579,17.2304,627.027,676.783,0
tests\corpus\anvil_bench.exe,2,160,956,220.418,34.5307,880.668,975.287,0
tests\corpus\anvil_bench.exe,2,30,485,38.0497,5.75254,166.625,186.436,0
tests\corpus\anvil_bench.exe,1,6,188,24.7112,1.95753,28.3559,37.6522,0
tests\corpus\anvil_bench.exe,3,257,942,134.181,21.9695,1521.93,1594.41,0
tests\corpus\anvil_bench.exe,1,6,485,24.9565,2.08253,27.1935,35.4298,0
tests\corpus\anvil_bench.exe,1,7,479,24.9532,2.20753,53.8707,62.4574,0
tests\corpus\anvil_bench.exe,2,80,923,114.459,18.6771,416.692,467.591,0
tests\corpus\anvil_bench.exe,1,4,97,19.2906,1.6924,37.0925,42.4991,0
tests\corpus\anvil_bench.exe,2,12,2553,51.5936,8.78879,50.6481,64.6882,0
tests\corpus\anvil_bench.exe,1,15,428,24.9241,2.45753,91.3438,102.313,0
tests\corpus\anvil_bench.exe,3,755,910,606.491,94.7578,4375.93,4624.04,0
tests\corpus\anvil_bench.exe,2,25,337,52.6981,8.66379,116.225,137.923,0
tests\corpus\anvil_bench.exe,1,5,28,18.9744,1.4424,27.4088,34.7511,0
tests\corpus\anvil_bench.exe,2,160,491,220.426,34.4057,914.571,997.648,0
tests\corpus\anvil_bench.exe,1,4,490,24.9591,3.08253,31.9878,34.7463,0
tests\corpus\anvil_bench.exe,2,39,491,62.5947,8.44671,218.34,241.867,0
tests\corpus\anvil_bench.exe,2,9,3977,35.5316,4.50254,42.6839,54.2652,0
tests\corpus\anvil_bench.exe,2,429,500,346.521,56.3229,2487.33,2653.32,0
tests\corpus\anvil_bench.exe,1,4,499,24.9638,2.08253,27.6465,31.117,0
tests\corpus\anvil_bench.exe,2,12,511,44.2685,5.13962,74.4294,87.6247,0
tests\corpus\anvil_bench.exe,3,405,1000,336.053,54.6052,2329.23,2464.13,0
tests\corpus\anvil_bench.exe,2,69,3355,137.508,20.8263,387.637,436.268,0
tests\corpus\anvil_bench.exe,3,293,487,170.766,27.6074,1722.74,1810.86,0
tests\corpus\anvil_bench.exe,2,23,2320,57.1886,9.03879,104.632,127.069,0
tests\corpus\anvil_bench.exe,2,73,2882,107.456,18.6892,383.866,441.53,0
tests\corpus\anvil_bench.exe,1,4,1520,25.2527,2.20753,27.5092,33.8735,0
tests\corpus\anvil_bench.exe,2,80,3357,175.13,28.6367,458.973,511.601,0
tests\corpus\anvil_bench.exe,3,376,959,283.895,45.4553,2164.3,2305.14,0
tests\corpus\anvil_bench.exe,1,4,39,19.0579,1.5674,26.5407,33.5974,0
tests\corpus\anvil_bench.exe,1,6,478,24.9527,3.08253,38.7365,47.5114,0
tests\corpus\anvil_bench.exe,2,72,3357,111.962,16.915,406.734,451.665,0
tests\corpus\anvil_bench.exe,3,403,1951,347.332,54.2423,2304.39,2439.42,0
tests\corpus\anvil_bench.exe,1,4,1990,25.3227,3.45753,27.3768,34.1889,0
tests\corpus\anvil_bench.exe,2,80,492,158.967,24.4996,451.583,506.678,0
tests\corpus\anvil_bench.exe,2,327,4806,266.634,40.5266,1914.4,2017.77,0
tests\corpus\anvil_bench.exe,1,5,28,18.9744,2.4424,26.923,33.7557,0
tests\corpus\anvil_bench.exe,3,454,1954,436.862,68.5419,2644.8,2802.39,0
tests\corpus\anvil_bench.exe,2,189,487,243.469,40.0999,1042.82,1142.99,0
tests\corpus\anvil_bench.exe,2,417,3439,403.348,62.1937,2393.95,2542.79,0
tests\corpus\anvil_bench.exe,3,78,498,155.993,24.1571,452.532,505.218,0
tests\corpus\anvil_bench.exe,1,8,4928,25.5581,2.58253,64.1237,71.7645,0
tests\corpus\anvil_bench.exe,3,769,3440,729.511,111.984,4444.39,4693.72,0
tests\corpus\anvil_bench.exe,3,4,487,26.3575,3.66001,30.5789,35.5691,0
tests\corpus\anvil_bench.exe,1,6,280,24.8142,3.08253,35.4047,43.5243,0
tests\corpus\anvil_bench.exe,2,15,9,46.1488,6.76158,104.18,115.595,0
tests\corpus\anvil_bench.exe,2,14,251,34.5407,4.12754,79.2658,91.2328,0
tests\corpus\anvil_bench.exe,1,4,254,24.789,2.08253,28.7662,32.0953,0
tests\corpus\anvil_bench.exe,1,8,239,24.7732,2.08253,45.3012,55.3003,0
tests\corpus\anvil_bench.exe,1,4,4,18.5179,2.0674,20.0165,27.2932,0
tests\corpus\anvil_bench.exe,1,4,292,24.8251,2.08253,24.9421,30.886,0
tests\corpus\anvil_bench.exe,1,9,240,24.7743,1.95753,65.2047,69.6549,0
tests\corpus\anvil_bench.exe,1,14,237,24.7711,2.33253,87.2404,94.7649,0
tests\corpus\anvil_bench.exe,2,9,8060,42.7471,5.76462,49.5779,58.5772,0
tests\corpus\anvil_bench.exe,1,5,47,19.1053,1.5674,23.5717,30.8943,0
tests\corpus\anvil_bench.exe,2,10,7,37.9693,4.62449,54.9844,65.6719,0
