file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\generated.jsonl,2,229,50646,148.668,19.4015,1090.59,1311.02,0
tests\corpus\generated.jsonl,2,352,28640,289.581,40.5775,1718.37,1996.92,0
tests\corpus\generated.jsonl,2,2048,13156,1294.75,159.891,9889.91,11654.1,0
tests\corpus\generated.jsonl,2,881,3753,499.028,61.2541,4239.6,5019.83,0
tests\corpus\generated.jsonl,2,352,9637,320.144,42.5943,1711.85,1998.37,0
tests\corpus\generated.jsonl,2,818,4691,464.233,56.163,3937.65,4669.3,0
tests\corpus\generated.jsonl,2,1167,26295,746.052,89.6904,5634.87,6626.43,0
tests\corpus\generated.jsonl,2,2048,40372,1387.42,171.96,9888.16,11627.9,0
tests\corpus\generated.jsonl,2,2043,939,1239.87,150.869,9858.05,11537.7,0
tests\corpus\generated.jsonl,2,1065,46944,634.592,78.5322,5118.83,6085.52,0
tests\corpus\generated.jsonl,2,352,14313,279.994,38.5764,1708.31,1987.39,0
tests\corpus\generated.jsonl,2,2048,13139,1375.48,160.934,9903.41,11613.4,0
tests\corpus\generated.jsonl,2,881,1877,490.585,62.2398,4261.72,5019.04,0
tests\corpus\generated.jsonl,2,586,38262,514.76,66.9706,2854.1,3330,0
tests\corpus\generated.jsonl,2,2048,13139,1341.6,160.916,9913.12,11633.1,0
tests\corpus\generated.jsonl,2,2048,4691,1145.06,142.819,9867.3,11593.2,0
tests\corpus\generated.jsonl,2,8,1407,33.6219,5.09673,42.8003,48.3444,0
tests\corpus\generated.jsonl,2,2048,37555,1258.31,153.87,9924.65,11597.8,0
tests\corpus\generated.jsonl,2,2042,939,1205.56,147.844,9859.25,11572.9,0
tests\corpus\generated.jsonl,2,1065,46943,638.616,77.5287,5135.76,6058.02,0
tests\corpus\generated.jsonl,2,2048,57267,1265.34,153.87,9932.36,11636.5,0
tests\corpus\generated.jsonl,2,1234,3756,730.977,83.7374,5967.35,7001.48,0
tests\corpus\generated.jsonl,2,230,69917,185.22,24.4158,1112.56,1320.13,0
tests\corpus\generated.jsonl,2,236,72490,200.963,25.4301,1142.04,1340.62,0
tests\corpus\generated.jsonl,1,4,4590,25.5396,4.05834,27.0827,22.5631,0
tests\corpus\generated.jsonl,2,2048,65715,1347.52,166.906,9951.37,11664.6,0
tests\corpus\generated.jsonl,2,997,3753,571.634,66.4256,4805.26,5654.05,0
tests\corpus\generated.jsonl,2,229,43187,157.926,19.4015,1096.61,1314.76,0
tests\corpus\generated.jsonl,2,121,72502,166.251,19.2704,611.655,681.654,0
tests\corpus\generated.jsonl,2,1991,4691,1125.91,138.763,9604.25,11301.4,0
tests\corpus\generated.jsonl,2,1168,30969,794.472,97.7334,5619.86,6629.84,0
tests\corpus\generated.jsonl,2,352,14313,293.138,39.5728,1717.88,1992.25,0
tests\corpus\generated.jsonl,2,2048,939,1220.51,148.848,9871.74,11637.6,0
tests\corpus\generated.jsonl,2,2048,1878,1155.92,141.823,9875.44,11582.9,0
tests\corpus\generated.jsonl,2,2048,4695,1222.05,146.837,9936.99,11633.4,0
tests\corpus\generated.jsonl,2,371,1878,243.093,30.5825,1786.4,2117.35,0
tests\corpus\generated.jsonl,2,421,46945,245.281,29.6497,2024.87,2393.09,0
tests\corpus\generated.jsonl,2,1170,6588,697.184,84.657,5658.92,6635.05,0
tests\corpus\generated.jsonl,2,464,37559,286.957,35.706,2241.74,2638.77,0
tests\corpus\generated.jsonl,2,120,88459,148.634,20.2632,598.776,675.458,0
tests\corpus\generated.jsonl,2,2048,13156,1302.87,157.887,9912.25,11676.2,0
tests\corpus\generated.jsonl,2,881,7524,504.224,63.2577,4248.42,5004.04,0
tests\corpus\generated.jsonl,2,2048,39435,1408.08,170.971,9889.87,11634.3,0
tests\corpus\generated.jsonl,2,2043,1878,1293.85,158.901,9852.77,11590.3,0
tests\corpus\generated.jsonl,2,2046,70424,1183.55,149.834,9871.1,11663.9,0
tests\corpus\generated.jsonl,2,78,16679,87.9518,11.1962,387.361,434.292,0
tests\corpus\generated.jsonl,2,2048,18791,1157.79,145.802,9900.44,11658.8,0
tests\corpus\generated.jsonl,2,178,4695,84.5779,11.2913,855.305,1026.35,0
tests\corpus\generated.jsonl,2,1168,62918,814.233,99.7334,5638.66,6678.54,0
tests\corpus\generated.jsonl,2,1169,46006,785.188,94.7155,5643,6649.09,0
tests\corpus\generated.jsonl,2,2048,57267,1247.18,160.87,9922.65,11659.2,0
tests\corpus\generated.jsonl,2,2048,4691,1193.85,156.855,9857.02,11584.6,0
tests\corpus\generated.jsonl,2,1060,7506,597.225,74.5203,5078.37,6050.87,0
tests\corpus\generated.jsonl,2,473,72535,369.537,51.7598,2287.29,2697.26,0
tests\corpus\generated.jsonl,2,117,42958,121.368,17.2489,573.224,660.147,0
tests\corpus\generated.jsonl,2,2048,28175,1200.98,152.834,9869.26,11653.1,0
tests\corpus\generated.jsonl,2,2048,939,1178.64,141.826,9898.35,11632.4,0
tests\corpus\generated.jsonl,2,2048,3756,1267.22,155.887,9900.35,11597.4,0
tests\corpus\generated.jsonl,1,74,235,24.7689,3.05834,346.325,437.716,0
tests\corpus\generated.jsonl,2,699,54454,480.236,57.0536,3366.68,3975.57,0
tests\corpus\generated.jsonl,2,474,72521,383.043,51.7598,2308.64,2702.08,0
tests\corpus\generated.jsonl,2,2048,57269,1244.77,159.863,9925.68,11624.1,0
tests\corpus\generated.jsonl,2,648,3518,501.622,64.0212,3145.26,3667.19,0
tests\corpus\generated.jsonl,2,2048,4691,1182.48,150.833,9878.99,11652.7,0
tests\corpus\generated.jsonl,2,1585,7506,926.946,113.228,7638.56,8948.12,0
tests\corpus\generated.jsonl,2,356,72520,343.435,44.641,1746.38,2007.49,0
tests\corpus\generated.jsonl,2,2048,939,1240.76,149.866,9871.66,11628.1,0
tests\corpus\generated.jsonl,2,2048,939,1176.83,142.83,9888.84,11568.9,0
tests\corpus\generated.jsonl,2,1182,1878,705.43,86.6677,5716.92,6717.19,0
tests\corpus\generated.jsonl,2,1169,5633,767.282,89.7,5654.91,6629.07,0
tests\corpus\generated.jsonl,2,1168,36607,851.315,95.7405,5661.89,6618.24,0
