file,mode,pnra,raw_B,base_B,oracle_B,delta_pct,base_ratio,oracle_ratio,tokens,matches,considered,R1,R2pop,rej_t1,rej_t2,rej_t3,won0,won1,won2,cal_n,cal_median,cal_p90,cal_p99,flips,flip_rate,enc_base_ms,enc_orc_ms,enc_x,dec_base_ms,dec_orc_ms,dec_penalty_pct,rt_base,rt_orc,pnra_commits
tests\corpus\anvil.exe,14,on,268800,108514,108514,0.000000,0.403698,0.403698,14507,8685,8685,0,382,0,0,0,2,0,0,8685,0.012808,0.499707,0.782376,0,0.000000,121.822100,115.053100,0.944435,2.366600,2.327800,-1.639483,1,1,858
tests\corpus\anvil_bench.exe,14,on,1929216,846050,846050,0.000000,0.438546,0.438546,121250,73586,73586,0,1470,0,0,0,8,0,0,73586,0.105487,0.554453,1.117455,0,0.000000,799.835700,827.222400,1.034240,20.116700,19.196300,-4.575303,1,1,3198
tests\corpus\pe-winver.exe,14,on,28672,6854,6854,0.000000,0.239049,0.239049,762,427,427,0,2,0,0,0,1,0,0,427,0.030932,0.821680,0.846867,0,0.000000,7.854600,7.590300,0.966351,0.138400,0.127200,-8.092486,1,1,4
tests\corpus\pe-where.exe,14,on,61440,25195,25195,0.000000,0.410075,0.410075,3808,2218,2218,0,171,0,0,0,1,0,0,2218,0.026893,0.544211,1.225273,0,0.000000,25.803500,26.614200,1.031418,0.589200,0.624500,5.991174,1,1,404
tests\corpus\pe-notepad.exe,14,on,360448,213701,213701,0.000000,0.592876,0.592876,19138,11440,11440,0,366,0,0,0,2,0,0,11440,0.055247,0.520552,0.933531,0,0.000000,133.674000,168.428000,1.259991,3.443600,3.441400,-0.063887,1,1,798
tests\corpus\pe-python.exe,14,on,103704,58687,58687,0.000000,0.565909,0.565909,2619,1601,1601,0,6,0,0,0,1,0,0,1601,0.071484,0.449865,0.872256,0,0.000000,30.621600,29.024600,0.947847,0.523900,0.611300,16.682573,1,1,12
tests\corpus\pe-ninja.exe,14,on,603648,311069,311069,0.000000,0.515315,0.515315,48651,29497,29497,0,2367,0,0,0,3,0,0,29497,0.072890,0.658692,1.511925,0,0.000000,238.613800,278.260900,1.166156,6.311300,6.079400,-3.674362,1,1,5280
tests\corpus\pe-git.exe,14,on,4383048,2287853,2287853,0.000000,0.521978,0.521978,473849,296803,296803,0,31742,0,0,0,17,0,0,296803,0.056403,0.827078,1.888063,0,0.000000,2361.458400,2590.202200,1.096865,49.161600,49.285000,0.251009,1,1,67876
