variant,rep,seconds
full,0,0.001193
full,1,0.001190
full,2,0.001204
full,3,0.001189
full,4,0.001714
full,5,0.001715
full,6,0.001205
no-lit-pull,0,0.000933
no-lit-pull,1,0.000939
no-lit-pull,2,0.000939
no-lit-pull,3,0.000931
no-lit-pull,4,0.001394
no-lit-pull,5,0.001345
no-lit-pull,6,0.000950
no-copy,0,0.001159
no-copy,1,0.001228
no-copy,2,0.001167
no-copy,3,0.001196
no-copy,4,0.001654
no-copy,5,0.001654
no-copy,6,0.001172
no-macro,0,0.000904
no-macro,1,0.000853
no-macro,2,0.000842
no-macro,3,0.001192
no-macro,4,0.001189
no-macro,5,0.001189
no-macro,6,0.000844
setup-only,0,0.000404
setup-only,1,0.000397
setup-only,2,0.000400
setup-only,3,0.000562
setup-only,4,0.000567
setup-only,5,0.000538
setup-only,6,0.000393
opcode-pull-only,0,0.000468
opcode-pull-only,1,0.000468
opcode-pull-only,2,0.000462
opcode-pull-only,3,0.000689
opcode-pull-only,4,0.000666
opcode-pull-only,5,0.000499
opcode-pull-only,6,0.000465
