variant,rep,seconds
baseline,0,0.003688
baseline,1,0.003754
baseline,2,0.003747
baseline,3,0.003702
baseline,4,0.004173
baseline,5,0.004271
baseline,6,0.004266
raw:opcodes,0,0.003721
raw:opcodes,1,0.003714
raw:opcodes,2,0.004314
raw:opcodes,3,0.003758
raw:opcodes,4,0.003735
raw:opcodes,5,0.004561
raw:opcodes,6,0.004493
raw:macro-types,0,0.003792
raw:macro-types,1,0.004296
raw:macro-types,2,0.004080
raw:macro-types,3,0.003766
raw:macro-types,4,0.003864
raw:macro-types,5,0.004111
raw:macro-types,6,0.004476
raw:macro-ll,0,0.003706
raw:macro-ll,1,0.004788
raw:macro-ll,2,0.003772
raw:macro-ll,3,0.003798
raw:macro-ll,4,0.003698
raw:macro-ll,5,0.003739
raw:macro-ll,6,0.004257
raw:macro-ml,0,0.003703
raw:macro-ml,1,0.005009
raw:macro-ml,2,0.003713
raw:macro-ml,3,0.003766
raw:macro-ml,4,0.003869
raw:macro-ml,5,0.003784
raw:macro-ml,6,0.003693
raw:macro-dflags,0,0.003686
raw:macro-dflags,1,0.003969
raw:macro-dflags,2,0.003989
raw:macro-dflags,3,0.003754
raw:macro-dflags,4,0.003737
raw:macro-dflags,5,0.003712
raw:macro-dflags,6,0.003726
raw:macro-dvar,0,0.004026
raw:macro-dvar,1,0.003769
raw:macro-dvar,2,0.004450
raw:macro-dvar,3,0.003734
raw:macro-dvar,4,0.003727
raw:macro-dvar,5,0.003822
raw:macro-dvar,6,0.003686
raw:literals,0,0.003718
raw:literals,1,0.004179
raw:literals,2,0.004009
raw:literals,3,0.003760
raw:literals,4,0.003736
raw:literals,5,0.003716
raw:literals,6,0.003799
raw:macro-masks,0,0.003776
raw:macro-masks,1,0.004410
raw:macro-masks,2,0.004113
raw:macro-masks,3,0.003720
raw:macro-masks,4,0.003758
raw:macro-masks,5,0.003940
raw:macro-masks,6,0.003773
raw:macro-resid,0,0.003705
raw:macro-resid,1,0.004474
raw:macro-resid,2,0.004897
raw:macro-resid,3,0.003677
raw:macro-resid,4,0.004229
raw:macro-resid,5,0.003723
raw:macro-resid,6,0.003829
raw:opcodes+literals,0,0.003958
raw:opcodes+literals,1,0.004000
raw:opcodes+literals,2,0.004826
raw:opcodes+literals,3,0.004046
raw:opcodes+literals,4,0.003745
raw:opcodes+literals,5,0.003801
raw:opcodes+literals,6,0.003988
raw:ALL9,0,0.004220
raw:ALL9,1,0.003743
raw:ALL9,2,0.004841
raw:ALL9,3,0.005110
raw:ALL9,4,0.003774
raw:ALL9,5,0.003717
raw:ALL9,6,0.004562
