variant,rep,seconds
baseline_full_decompress,0,3.307912
baseline_full_decompress,1,3.124933
baseline_full_decompress,2,3.177081
baseline_full_decompress,3,3.199625
baseline_full_decompress,4,3.135937
baseline_full_decompress,5,3.434635
baseline_full_decompress,6,3.175925
post_full,0,1.143540
post_full,1,1.176931
post_full,2,1.140649
post_full,3,1.245571
post_full,4,1.202574
post_full,5,1.155753
post_full,6,1.146834
post_fast_renorm,0,1.108673
post_fast_renorm,1,1.150619
post_fast_renorm,2,1.111540
post_fast_renorm,3,1.352839
post_fast_renorm,4,1.125012
post_fast_renorm,5,1.105229
post_fast_renorm,6,1.098532
model_build_x257,0,0.000486
model_build_x257,1,0.000354
model_build_x257,2,0.000434
model_build_x257,3,0.000343
model_build_x257,4,0.000385
model_build_x257,5,0.000464
model_build_x257,6,0.000467
post_setup_only,0,0.000002
post_setup_only,1,0.000002
post_setup_only,2,0.000002
post_setup_only,3,0.000004
post_setup_only,4,0.000002
post_setup_only,5,0.000002
post_setup_only,6,0.000002
post_no_emit(token+uvar only),0,1.061512
post_no_emit(token+uvar only),1,1.066144
post_no_emit(token+uvar only),2,1.082070
post_no_emit(token+uvar only),3,1.048938
post_no_emit(token+uvar only),4,1.058635
post_no_emit(token+uvar only),5,1.065494
post_no_emit(token+uvar only),6,1.068174
post_no_out(mtf, no writes),0,1.091406
post_no_out(mtf, no writes),1,1.104982
post_no_out(mtf, no writes),2,1.100817
post_no_out(mtf, no writes),3,1.124196
post_no_out(mtf, no writes),4,1.127989
post_no_out(mtf, no writes),5,1.122412
post_no_out(mtf, no writes),6,1.117426
