variant,rep,seconds
baseline,0,0.001877
baseline,1,0.001883
baseline,2,0.001925
baseline,3,0.001923
baseline,4,0.001934
baseline,5,0.001917
baseline,6,0.001857
raw:opcodes,0,0.001822
raw:opcodes,1,0.001824
raw:opcodes,2,0.001919
raw:opcodes,3,0.001898
raw:opcodes,4,0.001844
raw:opcodes,5,0.001817
raw:opcodes,6,0.001874
raw:macro-types,0,0.001918
raw:macro-types,1,0.001892
raw:macro-types,2,0.001944
raw:macro-types,3,0.001956
raw:macro-types,4,0.001912
raw:macro-types,5,0.001894
raw:macro-types,6,0.001910
raw:macro-ll,0,0.001913
raw:macro-ll,1,0.002124
raw:macro-ll,2,0.001952
raw:macro-ll,3,0.002013
raw:macro-ll,4,0.001938
raw:macro-ll,5,0.001916
raw:macro-ll,6,0.001914
raw:macro-ml,0,0.001852
raw:macro-ml,1,0.002382
raw:macro-ml,2,0.001852
raw:macro-ml,3,0.001884
raw:macro-ml,4,0.001861
raw:macro-ml,5,0.001872
raw:macro-ml,6,0.001888
raw:macro-dflags,0,0.001899
raw:macro-dflags,1,0.002486
raw:macro-dflags,2,0.001915
raw:macro-dflags,3,0.001971
raw:macro-dflags,4,0.001901
raw:macro-dflags,5,0.001932
raw:macro-dflags,6,0.001922
raw:macro-dvar,0,0.001949
raw:macro-dvar,1,0.002436
raw:macro-dvar,2,0.001929
raw:macro-dvar,3,0.001895
raw:macro-dvar,4,0.001862
raw:macro-dvar,5,0.001888
raw:macro-dvar,6,0.001918
raw:literals,0,0.001675
raw:literals,1,0.002092
raw:literals,2,0.001650
raw:literals,3,0.001654
raw:literals,4,0.001647
raw:literals,5,0.001637
raw:literals,6,0.001657
raw:macro-masks,0,0.001696
raw:macro-masks,1,0.002174
raw:macro-masks,2,0.001694
raw:macro-masks,3,0.001681
raw:macro-masks,4,0.001703
raw:macro-masks,5,0.001683
raw:macro-masks,6,0.001718
raw:macro-resid,0,0.001928
raw:macro-resid,1,0.002490
raw:macro-resid,2,0.001959
raw:macro-resid,3,0.001927
raw:macro-resid,4,0.001958
raw:macro-resid,5,0.001891
raw:macro-resid,6,0.001908
raw:opcodes+literals,0,0.001619
raw:opcodes+literals,1,0.001743
raw:opcodes+literals,2,0.001660
raw:opcodes+literals,3,0.001631
raw:opcodes+literals,4,0.001627
raw:opcodes+literals,5,0.001617
raw:opcodes+literals,6,0.001587
raw:ALL9,0,0.001262
raw:ALL9,1,0.001309
raw:ALL9,2,0.001286
raw:ALL9,3,0.001341
raw:ALL9,4,0.001269
raw:ALL9,5,0.001245
raw:ALL9,6,0.001236
