variant,rep,seconds
baseline,0,0.001706
baseline,1,0.001430
baseline,2,0.001470
baseline,3,0.001502
baseline,4,0.001415
baseline,5,0.001731
baseline,6,0.001473
raw:opcodes,0,0.001513
raw:opcodes,1,0.001432
raw:opcodes,2,0.001414
raw:opcodes,3,0.001430
raw:opcodes,4,0.001381
raw:opcodes,5,0.001410
raw:opcodes,6,0.001419
raw:macro-types,0,0.001626
raw:macro-types,1,0.001450
raw:macro-types,2,0.001468
raw:macro-types,3,0.001522
raw:macro-types,4,0.001506
raw:macro-types,5,0.001470
raw:macro-types,6,0.001467
raw:macro-ll,0,0.001595
raw:macro-ll,1,0.001423
raw:macro-ll,2,0.001480
raw:macro-ll,3,0.001877
raw:macro-ll,4,0.001495
raw:macro-ll,5,0.001571
raw:macro-ll,6,0.001447
raw:macro-ml,0,0.001519
raw:macro-ml,1,0.001383
raw:macro-ml,2,0.001577
raw:macro-ml,3,0.001469
raw:macro-ml,4,0.001695
raw:macro-ml,5,0.001433
raw:macro-ml,6,0.001392
raw:macro-dflags,0,0.001503
raw:macro-dflags,1,0.001505
raw:macro-dflags,2,0.001496
raw:macro-dflags,3,0.001486
raw:macro-dflags,4,0.001658
raw:macro-dflags,5,0.001419
raw:macro-dflags,6,0.001433
raw:macro-dvar,0,0.001432
raw:macro-dvar,1,0.001413
raw:macro-dvar,2,0.001626
raw:macro-dvar,3,0.001407
raw:macro-dvar,4,0.001623
raw:macro-dvar,5,0.001384
raw:macro-dvar,6,0.001365
raw:literals,0,0.001232
raw:literals,1,0.001240
raw:literals,2,0.001418
raw:literals,3,0.001217
raw:literals,4,0.001454
raw:literals,5,0.001195
raw:literals,6,0.001176
raw:macro-masks,0,0.001232
raw:macro-masks,1,0.001250
raw:macro-masks,2,0.001480
raw:macro-masks,3,0.001238
raw:macro-masks,4,0.001445
raw:macro-masks,5,0.001241
raw:macro-masks,6,0.001256
raw:macro-resid,0,0.001416
raw:macro-resid,1,0.001458
raw:macro-resid,2,0.001598
raw:macro-resid,3,0.001526
raw:macro-resid,4,0.001695
raw:macro-resid,5,0.001457
raw:macro-resid,6,0.001445
raw:opcodes+literals,0,0.001152
raw:opcodes+literals,1,0.001151
raw:opcodes+literals,2,0.001227
raw:opcodes+literals,3,0.001133
raw:opcodes+literals,4,0.001314
raw:opcodes+literals,5,0.001146
raw:opcodes+literals,6,0.001135
raw:ALL9,0,0.000797
raw:ALL9,1,0.000817
raw:ALL9,2,0.000824
raw:ALL9,3,0.000819
raw:ALL9,4,0.000971
raw:ALL9,5,0.000893
raw:ALL9,6,0.000958
