variant,rep,seconds
full,0,0.001208
full,1,0.001211
full,2,0.001226
full,3,0.001150
full,4,0.001225
full,5,0.001151
full,6,0.001204
no-lit-pull,0,0.001054
no-lit-pull,1,0.001040
no-lit-pull,2,0.000893
no-lit-pull,3,0.000899
no-lit-pull,4,0.000908
no-lit-pull,5,0.000903
no-lit-pull,6,0.001049
no-copy,0,0.001249
no-copy,1,0.001345
no-copy,2,0.001129
no-copy,3,0.001123
no-copy,4,0.001167
no-copy,5,0.001126
no-copy,6,0.001282
no-macro,0,0.000807
no-macro,1,0.000972
no-macro,2,0.000803
no-macro,3,0.000845
no-macro,4,0.000805
no-macro,5,0.000802
no-macro,6,0.000916
setup-only,0,0.000402
setup-only,1,0.000392
setup-only,2,0.000351
setup-only,3,0.000404
setup-only,4,0.000356
setup-only,5,0.000362
setup-only,6,0.000355
opcode-pull-only,0,0.000427
opcode-pull-only,1,0.000429
opcode-pull-only,2,0.000423
opcode-pull-only,3,0.000430
opcode-pull-only,4,0.000425
opcode-pull-only,5,0.000436
opcode-pull-only,6,0.000431
