file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note
scratch/ratio-first/corpora/silesia/webster,plain_reuse,OMP,41458703,5,2231.3996,2208.0754,2081.1112,2356.0418,4.35,18.58,53.8222,0,baseline
scratch/ratio-first/corpora/silesia/webster,plain_freq,OMP,41458703,5,2245.8158,2363.7145,2146.9382,2932.3657,12.33,18.46,54.1699,0,baseline
scratch/ratio-first/corpora/silesia/webster,aux_r2097152,OMP,41458703,5,705.7179,711.9551,679.4372,749.7503,3.92,58.75,17.0222,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r524288,OMP,41458703,5,658.8558,655.5349,620.0581,696.6491,3.97,62.93,15.8919,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,aux_r131072,OMP,41458703,5,650.4088,658.5614,621.3936,713.7845,5.52,63.74,15.6881,0,aux_index_input
scratch/ratio-first/corpora/silesia/webster,omp_rn_t1,OMP,41458703,5,2115.1858,2284.4416,2049.2008,2830.4545,12.86,19.60,51.0191,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t1,OMP,41458703,5,698.2129,724.1261,669.9075,837.4836,8.30,59.38,16.8412,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t1,OMP,41458703,5,637.9534,730.8192,621.8522,1068.4896,23.41,64.99,15.3877,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t1,OMP,41458703,5,640.8741,650.8352,625.0831,690.2422,3.79,64.69,15.4581,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_rn_t4,OMP,41458703,5,2043.2743,2036.2779,1934.9267,2116.3758,2.98,20.29,49.2846,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t4,OMP,41458703,5,234.7159,234.1659,227.2252,240.9283,1.92,176.63,5.6614,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t4,OMP,41458703,5,238.6276,231.6672,213.2697,248.0184,6.44,173.74,5.7558,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t4,OMP,41458703,5,212.8241,218.9607,203.9304,251.1036,8.00,194.80,5.1334,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_rn_t8,OMP,41458703,5,2055.7097,2089.6164,1964.0850,2385.5260,7.40,20.17,49.5845,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t8,OMP,41458703,5,187.2931,195.8705,178.9020,225.9124,8.93,221.36,4.5176,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t8,OMP,41458703,5,155.8642,151.2598,131.9150,176.9765,10.79,265.99,3.7595,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t8,OMP,41458703,5,119.6108,126.6802,112.0671,156.0214,12.92,346.61,2.8851,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_rn_t16,OMP,41458703,5,1948.4256,1997.2021,1879.2525,2121.9013,4.64,21.28,46.9968,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t16,OMP,41458703,5,171.9787,174.6698,167.0080,188.9286,4.71,241.07,4.1482,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t16,OMP,41458703,5,90.5266,91.3809,81.8863,101.0975,6.91,457.97,2.1835,0,omp_prototype
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t16,OMP,41458703,5,90.5769,91.1696,80.8931,103.9587,8.80,457.72,2.1847,0,omp_prototype
