file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note,reps_ms
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t1,OMP,41458703,7,625.4123,623.6141,596.3167,650.9801,2.87,66.29,15.0852,1,omp_prototype,650.9801;609.6111;611.2113;625.4123;642.8088;628.9585;596.3167
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t1,OMP,41458703,7,625.1980,620.7262,599.1998,643.3522,2.52,66.31,15.0800,1,omp_prototype,625.2057;609.6761;604.1745;599.1998;643.3522;638.2773;625.1980
scratch/ratio-first/corpora/silesia/webster,omp_rn_t4,OMP,41458703,7,1868.7242,1928.4172,1835.0102,2160.9910,5.59,22.19,45.0744,4,omp_prototype,2002.9562;1908.0649;1855.7796;1867.3942;1835.0102;2160.9910;1868.7242
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t4,OMP,41458703,7,230.6981,231.6942,224.5964,238.8035,2.03,179.71,5.5645,4,omp_prototype,231.7603;237.7435;227.7751;230.4825;238.8035;224.5964;230.6981
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t4,OMP,41458703,7,209.8851,215.7818,206.0612,238.5460,4.87,197.53,5.0625,4,omp_prototype,206.0612;209.2772;209.8851;221.4239;208.7433;238.5460;216.5360
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t4,OMP,41458703,7,201.0005,201.1725,197.6084,204.3838,1.14,206.26,4.8482,4,omp_prototype,197.6084;199.0699;199.9097;204.3838;203.3712;202.8642;201.0005
scratch/ratio-first/corpora/silesia/webster,omp_rn_t8,OMP,41458703,7,1894.3675,1938.0140,1793.8355,2194.6742,6.79,21.89,45.6929,8,omp_prototype,2052.1635;1894.3675;1813.8099;1793.8355;1872.8763;2194.6742;1944.3711
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t8,OMP,41458703,7,177.9481,183.8456,168.9804,224.5857,9.40,232.98,4.2922,8,omp_prototype,181.1777;184.2033;224.5857;168.9804;177.4981;177.9481;172.5256
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t8,OMP,41458703,7,128.8467,134.9107,124.0093,169.8808,10.88,321.77,3.1078,8,omp_prototype,128.5612;133.8201;169.8808;128.8467;125.5501;124.0093;133.7068
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t8,OMP,41458703,7,113.8768,117.9601,104.0543,140.4536,9.53,364.07,2.7468,8,omp_prototype,115.8795;112.2384;140.4536;104.0543;111.6625;127.5554;113.8768
