ts_utc,total_cpu_pct,own_anvil_pct
2026-09-12T06:43:36.1493687Z,31.4030033318309,1.703125
2026-09-12T06:43:38.1966654Z,36.3374678126328,3.890625
2026-09-12T06:43:40.2520092Z,29.4268926761664,5.96875
2026-09-12T06:43:42.2844860Z,31.8070518781684,8.078125
2026-09-12T06:43:44.3202923Z,29.2863661527488,10.171875
2026-09-12T06:43:46.3696504Z,24.9488879042802,12.28125
2026-09-12T06:43:48.4174720Z,26.8253527039779,14.359375
2026-09-12T06:43:50.4639675Z,23.5798992637317,16.46875
2026-09-12T06:43:52.5022053Z,33.1365555622649,18.578125
2026-09-12T06:43:54.5329920Z,23.822167582575,20.6875
2026-09-12T06:43:56.5773606Z,24.455014949445,22.796875
2026-09-12T06:43:58.6128529Z,29.0095683497798,24.90625
2026-09-12T06:44:00.6622001Z,33.6839930535891,27.234375
2026-09-12T06:44:02.7142163Z,28.0513993281518,29.390625
2026-09-12T06:44:04.7591944Z,28.1279134546345,31.625
2026-09-12T06:44:06.7917952Z,25.2340062672974,33.75
2026-09-12T06:44:08.8286668Z,29.995613623518,35.890625
2026-09-12T06:44:10.8736520Z,26.4926285016045,38.0625
2026-09-12T06:44:12.9180428Z,36.195651335468,40.25
2026-09-12T06:44:14.9567770Z,37.5002452002667,42.4375
2026-09-12T06:44:16.9990836Z,34.7852416387633,44.609375
2026-09-12T06:44:19.0637761Z,61.7635967493411,46.921875
2026-09-12T06:44:21.1136916Z,53.3977661573933,49.296875
2026-09-12T06:44:23.2300671Z,47.3174960028914,51.65625
2026-09-12T06:44:25.2857708Z,45.1225985222719,53.953125
2026-09-12T06:44:27.3213721Z,29.7725498953,56.078125
2026-09-12T06:44:29.3656114Z,36.0894141773737,58.25
2026-09-12T06:44:31.4073519Z,24.8469666482976,60.328125
2026-09-12T06:44:33.4542344Z,29.6397777973213,62.421875
2026-09-12T06:44:35.4861807Z,31.2798593354327,64.546875
2026-09-12T06:44:37.5236827Z,44.1683084535976,66.765625
2026-09-12T06:44:39.5654618Z,28.1195570432484,68.875
2026-09-12T06:44:41.6067983Z,33.9601493274515,70.96875
2026-09-12T06:44:43.6493183Z,25.0173232528429,73.078125
2026-09-12T06:44:45.6971891Z,30.3674410483947,75.1875
2026-09-12T06:44:47.7327202Z,30.621483465709,77.375
2026-09-12T06:44:49.7759557Z,44.3671102724879,79.53125
2026-09-12T06:44:51.8032422Z,28.5921905933708,81.671875
2026-09-12T06:44:53.8407741Z,31.3310142601371,83.796875
2026-09-12T06:44:55.8707518Z,37.951862417745,85.921875
2026-09-12T06:44:57.9185964Z,38.6747342050878,88.0625
2026-09-12T06:44:59.9876818Z,45.1645994637108,90.328125
2026-09-12T06:45:02.0340222Z,46.9235517848978,92.671875
2026-09-12T06:45:04.0882003Z,54.4694937514827,95.0625
2026-09-12T06:45:06.1275640Z,33.664827366138,97.25
2026-09-12T06:45:08.1660735Z,35.0433416125164,99.390625
2026-09-12T06:45:10.2152243Z,34.16875948216,101.609375
2026-09-12T06:45:12.2564477Z,37.2505638611876,103.890625
2026-09-12T06:45:14.2862739Z,32.438260478008,106.078125
2026-09-12T06:45:16.3247412Z,30.8200922730102,108.15625
2026-09-12T06:45:18.3578108Z,27.4717275442635,110.3125
2026-09-12T06:45:20.3999235Z,34.0460976288638,112.5625
2026-09-12T06:45:22.4329551Z,45.3245434026349,114.703125
2026-09-12T06:45:24.5400577Z,76.3296593952704,116.96875
2026-09-12T06:45:26.5790349Z,46.4786521406665,119.140625
2026-09-12T06:45:28.6343023Z,40.6998545735718,121.375
2026-09-12T06:45:30.6945914Z,29.6073687126676,123.53125
2026-09-12T06:45:32.7420228Z,45.6437337158678,125.828125
2026-09-12T06:45:34.7825338Z,37.3538447026773,127.984375
2026-09-12T06:45:36.8344709Z,43.5870101597526,130.21875
2026-09-12T06:45:38.8726437Z,40.2698929716219,132.5
2026-09-12T06:45:40.9187746Z,45.5157480534614,134.703125
2026-09-12T06:45:42.9593544Z,34.0559814739656,136.953125
2026-09-12T06:45:45.0074171Z,40.4566717870268,139.109375
2026-09-12T06:45:47.0619502Z,35.5473458858202,141.34375
2026-09-12T06:45:49.1086264Z,35.6479511349679,143.5
2026-09-12T06:45:51.1423044Z,29.9594743650929,145.609375
2026-09-12T06:45:53.1980205Z,40.810975733281,147.765625
2026-09-12T06:45:55.2460588Z,38.7128121400168,149.96875
2026-09-12T06:45:57.3058290Z,36.2870103473376,152.125
2026-09-12T06:45:59.3424568Z,33.1830401326404,154.34375
2026-09-12T06:46:01.3799000Z,24.5178822451707,156.40625
2026-09-12T06:46:03.4141728Z,35.0838639807933,158.5
2026-09-12T06:46:05.4600860Z,28.9158701199313,160.640625
2026-09-12T06:46:07.5048986Z,27.3157088237784,162.8125
2026-09-12T06:46:09.5646232Z,46.2358553924373,165.03125
2026-09-12T06:46:11.5957831Z,32.4755914055227,167.140625
2026-09-12T06:46:13.6330827Z,39.9317079999756,169.3125
2026-09-12T06:46:15.6655418Z,37.0394785379442,171.421875
2026-09-12T06:46:17.6960487Z,23.6627699688566,173.59375
2026-09-12T06:46:19.7327607Z,29.2154310548135,175.71875
2026-09-12T06:46:21.7796329Z,37.6921947027049,177.859375
2026-09-12T06:46:23.8268228Z,66.2851767360323,180
2026-09-12T06:46:25.8722779Z,33.5873168505003,182.1875
2026-09-12T06:46:27.9117772Z,33.7472932323071,184.375
2026-09-12T06:46:29.9809496Z,64.3641708370889,186.546875
2026-09-12T06:46:32.0221293Z,43.8388294711676,188.75
2026-09-12T06:46:34.0642162Z,31.6892459189604,190.90625
2026-09-12T06:46:36.1018264Z,28.0701397372778,193
2026-09-12T06:46:38.1465557Z,35.3039639894194,195.171875
2026-09-12T06:46:40.2271291Z,43.1300138536985,197.46875
2026-09-12T06:46:42.2727976Z,29.6430259641048,199.5625
2026-09-12T06:46:44.3079354Z,42.7408607648616,201.8125
2026-09-12T06:46:46.3563986Z,24.421024488084,203.890625
2026-09-12T06:46:48.3894474Z,21.2080608042636,205.953125
2026-09-12T06:46:50.4310754Z,24.0136362089005,208.125
2026-09-12T06:46:52.4784987Z,25.1012332534824,210.203125
2026-09-12T06:46:54.5177194Z,29.3319666635806,212.328125
2026-09-12T06:46:56.5554688Z,31.0965462909598,214.5625
2026-09-12T06:46:58.5952658Z,36.4749342737013,216.703125
2026-09-12T06:47:00.6487511Z,44.8927782716486,219
2026-09-12T06:47:02.6816322Z,25.2721158480437,221.09375
2026-09-12T06:47:04.7260787Z,23.7379190922617,223.1875
2026-09-12T06:47:06.7604881Z,17.2880379292065,225.25
2026-09-12T06:47:08.7935863Z,24.996291255169,227.296875
2026-09-12T06:47:10.8183401Z,39.4859338238576,229.453125
2026-09-12T06:47:12.8597896Z,28.6051495407103,231.65625
2026-09-12T06:47:14.8939806Z,23.9467517362129,233.75
2026-09-12T06:47:16.9292703Z,21.5698787365056,235.859375
2026-09-12T06:47:18.9684571Z,25.1158993083471,237.90625
2026-09-12T06:47:21.0047521Z,20.3328072605234,239.953125
2026-09-12T06:47:23.0428695Z,21.7483760666892,242.0625
2026-09-12T06:47:25.0748317Z,23.3212994153931,244.15625
2026-09-12T06:47:27.1124125Z,26.3512472789609,246.25
2026-09-12T06:47:29.1569750Z,22.3991353760154,248.359375
2026-09-12T06:47:31.1950310Z,18.9027588200216,250.40625
2026-09-12T06:47:33.2214273Z,16.2381662106371,252.453125
2026-09-12T06:47:35.2748615Z,41.8122958405788,254.5625
2026-09-12T06:47:37.3065994Z,38.4781320445131,256.8125
2026-09-12T06:47:39.3771900Z,40.5349597350319,259.015625
2026-09-12T06:47:41.4279598Z,31.2479331279653,261.265625
2026-09-12T06:47:43.4682694Z,42.9616515712486,263.359375
2026-09-12T06:47:45.5124686Z,18.4528195219616,265.453125
2026-09-12T06:47:47.5391586Z,16.0849410436167,267.5
2026-09-12T06:47:49.5722506Z,19.9298550561441,269.5625
