2026-09-12T07:10:42.5832817Z,59
2026-09-12T07:10:44.3328136Z,55
2026-09-12T07:10:46.0759154Z,31
2026-09-12T07:10:47.8180707Z,38
2026-09-12T07:10:49.5597699Z,27
2026-09-12T07:10:51.3011453Z,34
2026-09-12T07:10:53.0336019Z,27
2026-09-12T07:10:54.7793807Z,29
2026-09-12T07:10:56.5265635Z,26
2026-09-12T07:10:58.2750492Z,20
2026-09-12T07:11:00.0101004Z,36
2026-09-12T07:11:01.7436999Z,21
2026-09-12T07:11:03.4766031Z,7
2026-09-12T07:11:05.2108609Z,32
2026-09-12T07:11:06.9367512Z,35
2026-09-12T07:11:08.6703931Z,26
2026-09-12T07:11:10.4120828Z,26
2026-09-12T07:11:12.1455068Z,24
2026-09-12T07:11:13.8873031Z,22
2026-09-12T07:11:15.6234599Z,25
2026-09-12T07:11:17.3583806Z,34
2026-09-12T07:11:19.0970463Z,20
2026-09-12T07:11:20.8379928Z,42
2026-09-12T07:11:22.5750425Z,29
2026-09-12T07:11:24.3089910Z,18
2026-09-12T07:11:26.0853808Z,31
2026-09-12T07:11:27.8283503Z,19
2026-09-12T07:11:29.5573162Z,13
2026-09-12T07:11:31.2981842Z,31
2026-09-12T07:11:33.0282756Z,29
2026-09-12T07:11:34.7747317Z,16
2026-09-12T07:11:36.5026992Z,20
2026-09-12T07:11:38.2417578Z,18
2026-09-12T07:11:39.9826607Z,37
2026-09-12T07:11:41.7158689Z,35
2026-09-12T07:11:43.4540897Z,37
2026-09-12T07:11:45.1961543Z,43
2026-09-12T07:11:46.9355470Z,57
2026-09-12T07:11:48.6852049Z,51
2026-09-12T07:11:50.4245157Z,32
2026-09-12T07:11:52.1616601Z,26
2026-09-12T07:11:53.8969583Z,21
2026-09-12T07:11:55.6538706Z,20
2026-09-12T07:11:57.3882435Z,52
2026-09-12T07:11:59.1239319Z,18
2026-09-12T07:12:00.8543011Z,24
2026-09-12T07:12:02.5881375Z,41
2026-09-12T07:12:04.3273180Z,22
2026-09-12T07:12:06.0707586Z,17
2026-09-12T07:12:07.8008001Z,24
2026-09-12T07:12:09.5378573Z,18
2026-09-12T07:12:11.2617129Z,27
2026-09-12T07:12:12.9986260Z,16
2026-09-12T07:12:14.7397833Z,19
2026-09-12T07:12:16.4704528Z,18
2026-09-12T07:12:18.2117350Z,16
2026-09-12T07:12:19.9594769Z,42
2026-09-12T07:12:21.6879905Z,10
2026-09-12T07:12:23.4243059Z,14
2026-09-12T07:12:25.1586270Z,16
2026-09-12T07:12:26.9110469Z,63
2026-09-12T07:12:28.6537373Z,23
2026-09-12T07:12:30.3899273Z,24
2026-09-12T07:12:32.1345409Z,7
2026-09-12T07:12:33.8761933Z,11
2026-09-12T07:12:35.6154225Z,11
2026-09-12T07:12:37.3542360Z,18
2026-09-12T07:12:39.0954776Z,12
2026-09-12T07:12:40.8249346Z,38
2026-09-12T07:12:42.5635587Z,15
2026-09-12T07:12:44.2957964Z,13
2026-09-12T07:12:46.0426801Z,21
2026-09-12T07:12:47.7792760Z,14
2026-09-12T07:12:49.5167869Z,15
2026-09-12T07:12:51.2501046Z,18
2026-09-12T07:12:53.0032856Z,62
2026-09-12T07:12:54.7513269Z,63
2026-09-12T07:12:56.4899531Z,34
2026-09-12T07:12:58.2330520Z,20
2026-09-12T07:12:59.9782268Z,26
