2026-09-12T06:36:49.5155883Z,39
2026-09-12T06:36:51.2593823Z,29
2026-09-12T06:36:52.9957959Z,27
2026-09-12T06:36:54.7434253Z,53
2026-09-12T06:36:56.4781527Z,40
2026-09-12T06:36:58.2094862Z,41
2026-09-12T06:36:59.9427852Z,41
2026-09-12T06:37:01.6928959Z,37
2026-09-12T06:37:03.4280909Z,27
2026-09-12T06:37:05.1785602Z,48
2026-09-12T06:37:06.9129539Z,43
2026-09-12T06:37:08.6498860Z,43
2026-09-12T06:37:10.4059021Z,51
2026-09-12T06:37:12.1545075Z,32
2026-09-12T06:37:13.9058320Z,62
2026-09-12T06:37:15.6565242Z,49
2026-09-12T06:37:17.4208011Z,59
2026-09-12T06:37:19.1767858Z,67
2026-09-12T06:37:20.9285309Z,59
2026-09-12T06:37:22.6854657Z,57
2026-09-12T06:37:24.4187948Z,36
2026-09-12T06:37:26.1567956Z,42
2026-09-12T06:37:27.8859964Z,46
2026-09-12T06:37:29.6307693Z,41
2026-09-12T06:37:31.3663897Z,52
2026-09-12T06:37:33.1185373Z,43
2026-09-12T06:37:34.8607750Z,32
2026-09-12T06:37:36.6188921Z,37
2026-09-12T06:37:38.3638039Z,49
2026-09-12T06:37:40.1254444Z,43
2026-09-12T06:37:41.8807150Z,49
2026-09-12T06:37:43.6499639Z,94
2026-09-12T06:37:45.4126490Z,51
2026-09-12T06:37:47.1604771Z,55
2026-09-12T06:37:48.8997808Z,45
2026-09-12T06:37:50.6410954Z,25
2026-09-12T06:37:52.3916096Z,29
2026-09-12T06:37:54.1444131Z,35
2026-09-12T06:37:55.8711460Z,41
2026-09-12T06:37:57.6045734Z,33
2026-09-12T06:37:59.3494425Z,33
2026-09-12T06:38:01.0905363Z,19
2026-09-12T06:38:02.8315583Z,51
2026-09-12T06:38:04.5631459Z,48
2026-09-12T06:38:06.3162699Z,59
2026-09-12T06:38:08.0721861Z,42
2026-09-12T06:38:09.8261955Z,26
2026-09-12T06:38:11.5735568Z,42
2026-09-12T06:38:13.3197777Z,39
2026-09-12T06:38:15.0525072Z,16
2026-09-12T06:38:16.8058285Z,27
2026-09-12T06:38:18.5455228Z,37
2026-09-12T06:38:20.2713175Z,26
2026-09-12T06:38:22.0119745Z,22
2026-09-12T06:38:23.7917170Z,38
2026-09-12T06:38:25.5353322Z,56
2026-09-12T06:38:27.2793162Z,39
2026-09-12T06:38:29.0297457Z,31
2026-09-12T06:38:30.7667912Z,17
2026-09-12T06:38:32.5028039Z,21
2026-09-12T06:38:34.2450698Z,32
2026-09-12T06:38:36.0074608Z,40
2026-09-12T06:38:37.7679696Z,62
2026-09-12T06:38:39.5292241Z,37
2026-09-12T06:38:41.2696569Z,37
2026-09-12T06:38:43.0140124Z,32
2026-09-12T06:38:44.7596758Z,54
2026-09-12T06:38:46.5113210Z,34
2026-09-12T06:38:48.2410343Z,40
2026-09-12T06:38:49.9960607Z,71
2026-09-12T06:38:51.7380322Z,60
2026-09-12T06:38:53.4977133Z,64
2026-09-12T06:38:55.2534027Z,25
2026-09-12T06:38:56.9986740Z,37
2026-09-12T06:38:58.7499199Z,50
2026-09-12T06:39:00.5001655Z,57
2026-09-12T06:39:02.2418670Z,54
2026-09-12T06:39:03.9894094Z,17
2026-09-12T06:39:05.7381890Z,34
2026-09-12T06:39:07.4882519Z,31
2026-09-12T06:39:09.2513751Z,62
2026-09-12T06:39:11.0176311Z,77
2026-09-12T06:39:12.7604907Z,59
2026-09-12T06:39:14.4917893Z,58
2026-09-12T06:39:16.2371927Z,40
2026-09-12T06:39:17.9738296Z,57
2026-09-12T06:39:19.7287111Z,60
