2026-09-12T08:40:51.7874225Z,27,1.296875
2026-09-12T08:40:53.5939891Z,14,3.109375
2026-09-12T08:40:55.4384365Z,32,4.9375
2026-09-12T08:40:57.2708049Z,15,6.765625
2026-09-12T08:40:59.1278115Z,17,8.625
2026-09-12T08:41:00.9470547Z,23,10.4375
2026-09-12T08:41:02.7574339Z,15,12.25
2026-09-12T08:41:04.5697663Z,11,14.078125
2026-09-12T08:41:06.3746570Z,21,15.875
2026-09-12T08:41:08.1908687Z,15,17.6875
2026-09-12T08:41:10.0062273Z,19,19.5
2026-09-12T08:41:11.8189946Z,18,21.296875
2026-09-12T08:41:13.6369766Z,6,23.09375
2026-09-12T08:41:15.4673371Z,7,24.734375
2026-09-12T08:41:17.2956612Z,18,26.5625
2026-09-12T08:41:19.1501892Z,15,28.40625
2026-09-12T08:41:20.9701617Z,12,30.234375
2026-09-12T08:41:22.7855692Z,3,32.046875
2026-09-12T08:41:24.6100667Z,9,33.875
2026-09-12T08:41:26.4243653Z,7,35.6875
2026-09-12T08:41:28.2307800Z,24,37.5
2026-09-12T08:41:30.0583419Z,21,39.3125
2026-09-12T08:41:31.8661038Z,12,41.125
2026-09-12T08:41:33.6855047Z,19,42.9375
2026-09-12T08:41:36.3986084Z,43,45.65625
2026-09-12T08:41:38.2037769Z,18,47.453125
2026-09-12T08:41:40.0532840Z,25,49.125
2026-09-12T08:41:41.8801993Z,45,50.953125
2026-09-12T08:41:43.7285168Z,43,52.78125
2026-09-12T08:41:45.5800417Z,23,54.578125
2026-09-12T08:41:47.4031737Z,38,56.390625
2026-09-12T08:41:49.2803071Z,21,58.171875
2026-09-12T08:41:51.0927081Z,12,59.96875
2026-09-12T08:41:52.9254030Z,22,61.796875
2026-09-12T08:41:54.7385698Z,15,63.609375
2026-09-12T08:41:56.5564012Z,14,65.421875
2026-09-12T08:41:58.4023656Z,20,67.265625
2026-09-12T08:42:00.2326496Z,22,69.109375
2026-09-12T08:42:02.0551556Z,19,70.921875
2026-09-12T08:42:03.8803819Z,17,72.75
2026-09-12T08:42:05.7198604Z,19,74.59375
2026-09-12T08:42:07.5400019Z,32,76.421875
2026-09-12T08:42:09.3552122Z,17,78.234375
2026-09-12T08:42:11.2031740Z,26,80.078125
2026-09-12T08:42:13.0174627Z,21,81.890625
2026-09-12T08:42:14.8351929Z,14,83.703125
2026-09-12T08:42:16.6515547Z,12,85.484375
2026-09-12T08:42:18.4628650Z,15,87.296875
2026-09-12T08:42:20.2740608Z,24,89.109375
2026-09-12T08:42:22.0880347Z,28,90.90625
2026-09-12T08:42:23.9026524Z,15,92.734375
2026-09-12T08:42:25.7154280Z,29,94.546875
2026-09-12T08:42:27.5311883Z,20,96.359375
2026-09-12T08:42:29.3475464Z,22,98.171875
2026-09-12T08:42:31.1604508Z,16,99.984375
2026-09-12T08:42:32.9970239Z,11,101.8125
2026-09-12T08:42:34.8085693Z,17,103.59375
2026-09-12T08:42:36.7467390Z,74,105.53125
2026-09-12T08:42:38.5565307Z,13,107.34375
2026-09-12T08:42:40.3835329Z,24,109.171875
2026-09-12T08:42:42.2072514Z,25,110.984375
2026-09-12T08:42:44.0215708Z,20,112.78125
2026-09-12T08:42:45.8565553Z,37,114.609375
2026-09-12T08:42:47.7594560Z,32,116.515625
2026-09-12T08:42:49.7045843Z,23,118.453125
2026-09-12T08:42:51.5693550Z,35,120.3125
2026-09-12T08:42:53.4173783Z,27,122.15625
2026-09-12T08:42:55.2244750Z,19,123.96875
2026-09-12T08:42:57.0417331Z,24,125.78125
2026-09-12T08:42:58.8578017Z,15,127.609375
2026-09-12T08:43:00.6719263Z,24,129.421875
2026-09-12T08:43:02.4911361Z,13,131.234375
2026-09-12T08:43:04.3021424Z,10,133.03125
2026-09-12T08:43:06.1180496Z,4,134.84375
2026-09-12T08:43:07.9331837Z,9,136.65625
2026-09-12T08:43:09.7867083Z,26,138.515625
2026-09-12T08:43:11.6655765Z,23,140.390625
2026-09-12T08:43:13.4726695Z,15,142.1875
2026-09-12T08:43:15.2941112Z,9,143.984375
2026-09-12T08:43:17.1108877Z,11,145.8125
2026-09-12T08:43:18.9324789Z,28,147.625
2026-09-12T08:43:20.7411454Z,23,149.4375
2026-09-12T08:43:22.5592473Z,12,151.265625
2026-09-12T08:43:24.3719147Z,20,153.078125
2026-09-12T08:43:26.1836156Z,13,154.890625
2026-09-12T08:43:27.9949068Z,12,156.703125
2026-09-12T08:43:29.8153149Z,24,158.515625
2026-09-12T08:43:31.6331261Z,17,160.34375
2026-09-12T08:43:33.4461410Z,9,162.140625
2026-09-12T08:43:35.2656960Z,18,163.953125
2026-09-12T08:43:37.1528513Z,50,165.84375
2026-09-12T08:43:38.9931854Z,22,167.6875
2026-09-12T08:43:40.8019444Z,16,169.484375
2026-09-12T08:43:42.6225496Z,28,171.296875
2026-09-12T08:43:44.4354378Z,13,173.109375
2026-09-12T08:43:46.2654627Z,21,174.9375
2026-09-12T08:43:48.0780478Z,19,176.765625
2026-09-12T08:43:49.9004192Z,28,178.578125
2026-09-12T08:43:51.7859968Z,60,180.421875
2026-09-12T08:43:53.6147707Z,45,182.25
2026-09-12T08:43:55.4564113Z,37,184.09375
2026-09-12T08:43:57.3072405Z,24,185.9375
2026-09-12T08:43:59.1961521Z,12,187.828125
2026-09-12T08:44:01.0024289Z,10,189.640625
2026-09-12T08:44:02.8086866Z,14,191.4375
2026-09-12T08:44:04.6206345Z,20,193.25
2026-09-12T08:44:06.4351453Z,18,195.0625
2026-09-12T08:44:08.2485085Z,17,196.875
2026-09-12T08:44:10.0685286Z,29,198.703125
2026-09-12T08:44:11.8727349Z,21,200.484375
2026-09-12T08:44:13.6988830Z,9,202.3125
2026-09-12T08:44:15.5205086Z,17,204.140625
2026-09-12T08:44:17.3353859Z,23,205.9375
2026-09-12T08:44:19.1720795Z,20,207.765625
2026-09-12T08:44:20.9958619Z,23,209.578125
2026-09-12T08:44:22.8074275Z,21,211.390625
2026-09-12T08:44:24.6105215Z,21,213.1875
2026-09-12T08:44:26.4320888Z,19,215.015625
2026-09-12T08:44:28.2685253Z,20,216.84375
2026-09-12T08:44:30.0945734Z,23,218.671875
2026-09-12T08:44:31.9287529Z,19,220.515625
2026-09-12T08:44:33.7692056Z,34,222.359375
2026-09-12T08:44:36.3471378Z,38,224.921875
2026-09-12T08:44:38.1586597Z,14,226.734375
2026-09-12T08:44:39.9673377Z,21,228.546875
